dataset,method,offset,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),,winners
AUDrone2,ORB-SLAM3_2,0.5,0.125216,0.140166,0.125216,0.119017,0.256462,0.021249,0.062987,4.420438,,,,1
AUDrone2,ORB-SLAM3,0.5,0.142116,0.170451,0.142116,0.131355,0.540402,0.004709,0.094109,8.832243,,,,1
AUDrone1,ORB-SLAM3,-1.25,0.142701,0.181899,0.142701,0.123694,0.874892,0.04404,0.112799,4.797629,,,,1
AUDrone1,ORB-SLAM3_2,-1.25,0.209389,0.237151,0.209389,0.210062,0.727271,0.068013,0.111341,7.648737,,,,1
AUDrone3,ORB-SLAM3,0.35,0.76173,1.54576,0.76173,0.450912,10.163486,0.116751,1.345043,482.653511,,,,1
AUDrone3,ORB-SLAM3_2,1.7,1.528686,2.92328,1.528686,0.974359,18.916395,0.329668,2.491724,1709.113521,,,,1
AUDrone2,ORB-SLAM3_2,0.45,0.126267,0.142764,0.126267,0.126225,0.275329,0.024291,0.06662,4.565492,,,,0
AUDrone2,ORB-SLAM3_2,0.55,0.130891,0.144779,0.130891,0.132147,0.257503,0.003799,0.061875,4.716232,,,,0
AUDrone2,ORB-SLAM3_2,0.4,0.135839,0.152684,0.135839,0.14167,0.309969,0.013846,0.069715,5.268597,,,,0
AUDrone2,ORB-SLAM3_2,0.6,0.143114,0.156339,0.143114,0.145987,0.269071,0.037359,0.062931,5.548317,,,,0
AUDrone1,ORB-SLAM3,-1.2,0.143667,0.183749,0.143667,0.117956,0.876659,0.040222,0.114557,4.89571,,,,0
AUDrone2,ORB-SLAM3,0.55,0.145693,0.169584,0.145693,0.134835,0.506839,0.030258,0.086789,8.685186,,,,0
AUDrone1,ORB-SLAM3,-1.3,0.146182,0.183496,0.146182,0.130068,0.873653,0.042646,0.110912,4.882238,,,,0
AUDrone2,ORB-SLAM3,0.45,0.14725,0.177491,0.14725,0.135406,0.576122,0.010197,0.099099,9.576915,,,,0
AUDrone1,ORB-SLAM3,-1.15,0.149224,0.188672,0.149224,0.115967,0.877559,0.038141,0.115452,5.161561,,,,0
AUDrone2,ORB-SLAM3_2,0.35,0.150977,0.16827,0.150977,0.16378,0.364531,0.022826,0.074301,6.399121,,,,0
AUDrone1,ORB-SLAM3,-1.35,0.153536,0.188421,0.153536,0.134659,0.872117,0.042956,0.109221,5.147834,,,,0
AUDrone2,ORB-SLAM3,0.6,0.156307,0.176189,0.156307,0.149533,0.482358,0.029571,0.081306,9.374823,,,,0
AUDrone2,ORB-SLAM3_2,0.65,0.158782,0.171998,0.158782,0.161968,0.296905,0.044441,0.066116,6.685797,,,,0
AUDrone1,ORB-SLAM3,-1.1,0.159089,0.196562,0.159089,0.119335,0.878843,0.045107,0.115444,5.602309,,,,0
AUDrone2,ORB-SLAM3,0.4,0.160112,0.190322,0.160112,0.152969,0.611672,0.007157,0.102892,10.975455,,,,0
AUDrone1,ORB-SLAM3,-1.4,0.164252,0.196774,0.164252,0.140401,0.871304,0.053891,0.108357,5.61438,,,,0
AUDrone2,ORB-SLAM3_2,0.3,0.169894,0.187608,0.169894,0.177869,0.415532,0.049226,0.07958,7.954474,,,,0
AUDrone1,ORB-SLAM3,-1.05,0.171578,0.206795,0.171578,0.130628,0.880652,0.066102,0.115435,6.200791,,,,0
AUDrone2,ORB-SLAM3,0.65,0.172222,0.188487,0.172222,0.169398,0.463844,0.039805,0.076596,10.800307,,,,0
AUDrone1,ORB-SLAM3,-1.45,0.177533,0.207718,0.177533,0.155032,0.869081,0.037081,0.107837,6.25627,,,,0
AUDrone2,ORB-SLAM3,0.35,0.177628,0.207782,0.177628,0.171137,0.65178,0.001757,0.107804,13.167898,,,,0
AUDrone2,ORB-SLAM3_2,0.7,0.179839,0.192517,0.179839,0.185721,0.337578,0.06937,0.068709,8.376234,,,,0
AUDrone1,ORB-SLAM3,-1,0.186129,0.219163,0.186129,0.147599,0.882487,0.065521,0.115708,6.964707,,,,0
AUDrone2,ORB-SLAM3,0.7,0.191037,0.204846,0.191037,0.186681,0.454394,0.060812,0.073936,12.756385,,,,0
AUDrone2,ORB-SLAM3_2,0.25,0.191766,0.210421,0.191766,0.195742,0.464973,0.061376,0.08662,10.006639,,,,0
AUDrone1,ORB-SLAM3,-1.5,0.1932,0.221087,0.1932,0.1747,0.866811,0.053254,0.107486,7.087529,,,,0
AUDrone2,ORB-SLAM3,0.3,0.198595,0.228999,0.198595,0.193559,0.692907,0.005189,0.11402,15.994396,,,,0
AUDrone1,ORB-SLAM3,-0.95,0.20159,0.233056,0.20159,0.166486,0.884824,0.064882,0.116948,7.875714,,,,0
AUDrone2,ORB-SLAM3_2,0.75,0.202747,0.215026,0.202747,0.209796,0.37909,0.086825,0.071622,10.44935,,,,0
AUDrone1,ORB-SLAM3_2,-1.2,0.210576,0.239321,0.210576,0.216981,0.729224,0.063709,0.113719,7.789308,,,,0
AUDrone1,ORB-SLAM3,-1.55,0.210621,0.236459,0.210621,0.193703,0.865533,0.050397,0.107479,8.10734,,,,0
AUDrone1,ORB-SLAM3_2,-1.3,0.210719,0.238141,0.210719,0.213243,0.726147,0.065597,0.110944,7.712715,,,,0
AUDrone2,ORB-SLAM3,0.75,0.212357,0.224963,0.212357,0.207466,0.454563,0.056622,0.074249,15.384952,,,,0
AUDrone1,ORB-SLAM3_2,-1.15,0.213763,0.243954,0.213763,0.209593,0.731453,0.061723,0.117555,8.093867,,,,0
AUDrone1,ORB-SLAM3_2,-1.35,0.214084,0.24192,0.214084,0.212231,0.726175,0.051128,0.112664,7.959414,,,,0
AUDrone2,ORB-SLAM3_2,0.2,0.21559,0.235185,0.21559,0.207678,0.508869,0.068128,0.093983,12.555858,,,,0
AUDrone1,ORB-SLAM3,-0.9,0.217771,0.248326,0.217771,0.189836,0.886589,0.062132,0.119338,8.941545,,,,0
AUDrone1,ORB-SLAM3_2,-1.4,0.219371,0.248064,0.219371,0.214279,0.724681,0.040692,0.11581,8.368833,,,,0
AUDrone1,ORB-SLAM3_2,-1.1,0.219628,0.251195,0.219628,0.206161,0.732489,0.041753,0.121912,8.581442,,,,0
AUDrone2,ORB-SLAM3,0.25,0.221552,0.252548,0.221552,0.210211,0.734271,0.012203,0.121224,19.389272,,,,0
AUDrone1,ORB-SLAM3_2,-1.45,0.227486,0.257588,0.227486,0.220113,0.726424,0.040102,0.120837,9.02379,,,,0
AUDrone2,ORB-SLAM3_2,0.8,0.227649,0.23979,0.227649,0.23256,0.414703,0.096625,0.075332,12.994784,,,,0
AUDrone1,ORB-SLAM3_2,-1.05,0.227832,0.260446,0.227832,0.205522,0.732884,0.037048,0.126194,9.225194,,,,0
AUDrone1,ORB-SLAM3,-1.6,0.228972,0.253242,0.228972,0.213544,0.86502,0.05749,0.108182,9.29904,,,,0
AUDrone1,ORB-SLAM3,-0.85,0.234744,0.264782,0.234744,0.214198,0.887412,0.057863,0.122493,10.165848,,,,0
AUDrone2,ORB-SLAM3,0.8,0.235502,0.247708,0.235502,0.23693,0.463996,0.068402,0.076799,18.775928,,,,0
AUDrone1,ORB-SLAM3_2,-1.5,0.237225,0.268733,0.237225,0.226897,0.727038,0.030972,0.12626,9.821541,,,,0
AUDrone1,ORB-SLAM3_2,-1,0.238568,0.271724,0.238568,0.209695,0.733304,0.033424,0.130073,10.041401,,,,0
AUDrone2,ORB-SLAM3_2,0.15,0.240156,0.260809,0.240156,0.23527,0.548639,0.074792,0.101717,15.508877,,,,0
AUDrone2,ORB-SLAM3,0.2,0.245366,0.277722,0.245366,0.23672,0.77728,0.015387,0.130096,23.524431,,,,0
AUDrone1,ORB-SLAM3,-1.65,0.2484,0.271422,0.2484,0.234847,0.864172,0.070313,0.109397,10.682167,,,,0
AUDrone1,ORB-SLAM3_2,-1.55,0.248936,0.281751,0.248936,0.243804,0.727546,0.021203,0.131964,10.796162,,,,0
AUDrone1,ORB-SLAM3_2,-0.95,0.251027,0.284334,0.251027,0.219184,0.733532,0.054701,0.133533,10.995034,,,,0
AUDrone1,ORB-SLAM3,-0.8,0.25108,0.281698,0.25108,0.23572,0.888162,0.041606,0.127723,11.426982,,,,0
AUDrone2,ORB-SLAM3_2,0.85,0.25308,0.265743,0.25308,0.260741,0.444913,0.09543,0.081054,15.818759,,,,0
AUDrone2,ORB-SLAM3,0.85,0.259638,0.272474,0.259638,0.259939,0.480459,0.09325,0.082647,22.569657,,,,0
AUDrone1,ORB-SLAM3_2,-1.6,0.262466,0.29612,0.262466,0.253231,0.726953,0.031993,0.137107,11.925419,,,,0
AUDrone1,ORB-SLAM3_2,-0.9,0.264504,0.298,0.264504,0.230737,0.733429,0.086083,0.137264,12.077308,,,,0
AUDrone2,ORB-SLAM3_2,0.1,0.265381,0.287526,0.265381,0.257085,0.591357,0.083077,0.110655,18.849067,,,,0
AUDrone1,ORB-SLAM3,-1.7,0.268235,0.290537,0.268235,0.262216,0.863519,0.070088,0.111631,12.239672,,,,0
AUDrone1,ORB-SLAM3,-0.75,0.269227,0.299782,0.269227,0.2582,0.887917,0.061402,0.131855,13.03104,,,,0
AUDrone2,ORB-SLAM3,0.15,0.26945,0.303841,0.26945,0.25664,0.823747,0.026079,0.140415,28.434427,,,,0
AUDrone1,ORB-SLAM3_2,-1.65,0.277518,0.311623,0.277518,0.261708,0.725187,0.037808,0.141748,13.206779,,,,0
AUDrone1,ORB-SLAM3_2,-0.85,0.278755,0.312591,0.278755,0.244261,0.732717,0.092458,0.141453,13.289023,,,,0
AUDrone2,ORB-SLAM3_2,0.9,0.2788,0.292041,0.2788,0.287095,0.487875,0.118386,0.086938,19.019193,,,,0
AUDrone2,ORB-SLAM3,0.9,0.284942,0.298758,0.284942,0.2851,0.515335,0.125354,0.089804,26.955499,,,,0
AUDrone1,ORB-SLAM3,-0.7,0.287797,0.319255,0.287797,0.286447,0.888415,0.064921,0.138189,14.778923,,,,0
AUDrone1,ORB-SLAM3,-1.75,0.28804,0.310001,0.28804,0.282453,0.86198,0.069912,0.114602,13.838488,,,,0
AUDrone2,ORB-SLAM3_2,0.05,0.291917,0.315419,0.291917,0.282676,0.648015,0.090955,0.119473,22.683569,,,,0
AUDrone1,ORB-SLAM3_2,-1.7,0.293846,0.328047,0.293846,0.276204,0.724452,0.032931,0.14584,14.635606,,,,0
AUDrone1,ORB-SLAM3_2,-0.8,0.293863,0.32806,0.293863,0.259931,0.73189,0.091007,0.145835,14.636782,,,,0
AUDrone2,ORB-SLAM3,0.1,0.295215,0.331807,0.295215,0.279348,0.870038,0.020635,0.151471,33.909439,,,,0
AUDrone1,ORB-SLAM3,-0.65,0.305693,0.338414,0.305693,0.311745,0.888984,0.056512,0.145177,16.606027,,,,0
AUDrone2,ORB-SLAM3_2,0.95,0.30654,0.320996,0.30654,0.312084,0.532451,0.129172,0.095245,23.080676,,,,0
AUDrone1,ORB-SLAM3_2,-0.75,0.308364,0.343898,0.308364,0.274875,0.733329,0.089631,0.152242,16.084175,,,,0
AUDrone1,ORB-SLAM3,-1.8,0.308775,0.330768,0.308775,0.310949,0.861232,0.075964,0.118598,15.864102,,,,0
AUDrone2,ORB-SLAM3,0.95,0.310936,0.325957,0.310936,0.310806,0.562277,0.140081,0.09781,31.980676,,,,0
AUDrone1,ORB-SLAM3_2,-1.75,0.311372,0.345634,0.311372,0.292668,0.724253,0.040981,0.150033,16.246918,,,,0
AUDrone2,ORB-SLAM3_2,0,0.318029,0.342974,0.318029,0.30952,0.699773,0.099369,0.128408,26.702215,,,,0
AUDrone2,ORB-SLAM3,0.05,0.321244,0.360336,0.321244,0.300837,0.920256,0.013654,0.163231,40.121237,,,,0
AUDrone1,ORB-SLAM3,-0.6,0.323608,0.357851,0.323608,0.333752,0.889501,0.045578,0.152758,18.568295,,,,0
AUDrone1,ORB-SLAM3_2,-0.7,0.324094,0.360774,0.324094,0.292743,0.764404,0.087117,0.158495,17.701486,,,,0
AUDrone1,ORB-SLAM3,-1.85,0.329454,0.351921,0.329454,0.332098,0.859402,0.083403,0.123727,17.958027,,,,0
AUDrone1,ORB-SLAM3_2,-1.8,0.330843,0.364884,0.330843,0.314805,0.723113,0.049897,0.153894,18.107127,,,,0
AUDrone2,ORB-SLAM3_2,1,0.333614,0.34945,0.333614,0.339166,0.575254,0.140087,0.104006,27.475944,,,,0
AUDrone2,ORB-SLAM3,1,0.337318,0.354013,0.337318,0.340762,0.608171,0.150074,0.107432,37.722916,,,,0
AUDrone1,ORB-SLAM3_2,-0.65,0.339112,0.377623,0.339112,0.314375,0.797458,0.082815,0.166139,19.393517,,,,0
AUDrone1,ORB-SLAM3,-0.55,0.341826,0.378019,0.341826,0.350834,0.89086,0.034188,0.161411,20.720277,,,,0
AUDrone2,ORB-SLAM3_2,-0.05,0.345758,0.372208,0.345758,0.332235,0.755566,0.108288,0.137804,31.586833,,,,0
AUDrone2,ORB-SLAM3,0,0.34708,0.388928,0.34708,0.326842,0.973354,0.013921,0.1755,47.043399,,,,0
AUDrone1,ORB-SLAM3,-1.9,0.349557,0.372883,0.349557,0.359185,0.85696,0.098974,0.129813,20.161058,,,,0
AUDrone1,ORB-SLAM3_2,-1.85,0.350329,0.384163,0.350329,0.327585,0.72086,0.052209,0.157641,20.071056,,,,0
AUDrone1,ORB-SLAM3_2,-0.6,0.353527,0.394741,0.353527,0.33753,0.829435,0.076397,0.175609,21.035745,,,,0
AUDrone1,ORB-SLAM3,-0.5,0.360089,0.398295,0.360089,0.373013,0.891977,0.023366,0.170221,23.002671,,,,0
AUDrone2,ORB-SLAM3_2,1.05,0.360457,0.377814,0.360457,0.374692,0.615991,0.149996,0.113198,32.117193,,,,0
AUDrone2,ORB-SLAM3,1.05,0.362972,0.381807,0.362972,0.369455,0.651102,0.126967,0.118437,44.024493,,,,0
AUDrone1,ORB-SLAM3_2,-0.55,0.369896,0.412201,0.369896,0.354753,0.860069,0.075718,0.181897,23.107744,,,,0
AUDrone1,ORB-SLAM3_2,-1.9,0.370716,0.404484,0.370716,0.344075,0.720554,0.059496,0.161793,22.250553,,,,0
AUDrone1,ORB-SLAM3,-1.95,0.371384,0.395782,0.371384,0.382914,0.854385,0.114994,0.136811,22.713289,,,,0
AUDrone2,ORB-SLAM3_2,-0.1,0.372995,0.400816,0.372995,0.364291,0.809135,0.116941,0.146726,36.629072,,,,0
AUDrone2,ORB-SLAM3,-0.05,0.373541,0.418227,0.373541,0.350275,1.028381,0.021266,0.188096,54.398083,,,,0
AUDrone1,ORB-SLAM3,-0.45,0.377402,0.418263,0.377402,0.380275,0.893853,0.012735,0.180309,25.366852,,,,0
AUDrone1,ORB-SLAM3_2,-0.5,0.386656,0.430884,0.386656,0.380395,0.889354,0.073485,0.190154,25.249899,,,,0
AUDrone2,ORB-SLAM3_2,1.1,0.387265,0.40625,0.387265,0.411125,0.655753,0.160842,0.122742,37.133852,,,,0
AUDrone2,ORB-SLAM3,1.1,0.388874,0.409764,0.388874,0.394613,0.685303,0.15164,0.129166,50.371969,,,,0
AUDrone1,ORB-SLAM3_2,-1.95,0.390641,0.424381,0.390641,0.368619,0.722493,0.069801,0.165827,24.313378,,,,0
AUDrone1,ORB-SLAM3,-2,0.391468,0.416853,0.391468,0.402612,0.851322,0.123431,0.143246,25.022355,,,,0
AUDrone1,ORB-SLAM3,-0.4,0.396065,0.439018,0.396065,0.401785,0.894057,0.007788,0.189394,27.94689,,,,0
AUDrone2,ORB-SLAM3_2,-0.15,0.400888,0.430496,0.400888,0.396537,0.864987,0.125316,0.156893,41.883839,,,,0
AUDrone2,ORB-SLAM3,-0.1,0.402638,0.449789,0.402638,0.377811,1.088607,0.024276,0.200483,62.716261,,,,0
AUDrone1,ORB-SLAM3_2,-0.45,0.403069,0.449286,0.403069,0.407557,0.91581,0.070521,0.198476,27.452617,,,,0
AUDrone1,ORB-SLAM3,-0.35,0.412874,0.458762,0.412874,0.415161,0.895769,0.005554,0.199995,30.5171,,,,0
AUDrone1,ORB-SLAM3_2,-2,0.413325,0.447263,0.413325,0.392111,0.748834,0.07851,0.1709,27.206034,,,,0
AUDrone2,ORB-SLAM3_2,1.15,0.414553,0.435374,0.414553,0.441857,0.692648,0.151947,0.133028,42.459351,,,,0
AUDrone2,ORB-SLAM3,1.15,0.4168,0.440316,0.4168,0.421094,0.7515,0.176211,0.141972,58.357354,,,,0
AUDrone1,ORB-SLAM3_2,-0.4,0.417139,0.466387,0.417139,0.430523,0.951264,0.065505,0.208596,29.364794,,,,0
AUDrone2,ORB-SLAM3_2,-0.2,0.43002,0.46063,0.43002,0.422547,0.918995,0.138575,0.165116,47.952773,,,,0
AUDrone1,ORB-SLAM3,-0.3,0.431319,0.479698,0.431319,0.432066,0.89733,0.009024,0.209937,33.36593,,,,0
AUDrone2,ORB-SLAM3,-0.15,0.432167,0.48161,0.432167,0.410317,1.151231,0.025081,0.212556,71.672022,,,,0
AUDrone1,ORB-SLAM3_2,-0.35,0.435672,0.48616,0.435672,0.459881,0.979109,0.066503,0.215735,32.143791,,,,0
AUDrone2,ORB-SLAM3_2,1.2,0.44085,0.463823,0.44085,0.470101,0.741165,0.14415,0.144165,48.834958,,,,0
AUDrone2,ORB-SLAM3,1.2,0.443744,0.469649,0.443744,0.448279,0.798437,0.192831,0.153821,66.391499,,,,0
AUDrone1,ORB-SLAM3,-0.25,0.449024,0.500108,0.449024,0.451531,0.935168,0.019252,0.220195,36.265683,,,,0
AUDrone1,ORB-SLAM3_2,-0.3,0.45312,0.506124,0.45312,0.485064,1.016524,0.065558,0.225484,34.837901,,,,0
AUDrone2,ORB-SLAM3_2,-0.25,0.456088,0.489133,0.456088,0.450146,0.979881,0.142821,0.176734,54.310011,,,,0
AUDrone2,ORB-SLAM3,-0.2,0.459639,0.512013,0.459639,0.441724,1.215145,0.031697,0.225586,81.006491,,,,0
AUDrone1,ORB-SLAM3,-0.2,0.466629,0.520425,0.466629,0.470767,0.973238,0.029006,0.230433,39.27205,,,,0
AUDrone2,ORB-SLAM3_2,1.25,0.468907,0.49386,0.468907,0.507574,0.779159,0.138229,0.154997,54.633057,,,,0
AUDrone1,ORB-SLAM3_2,-0.25,0.469741,0.525236,0.469741,0.502904,1.05186,0.066861,0.234982,37.518727,,,,0
AUDrone2,ORB-SLAM3,1.25,0.470796,0.499279,0.470796,0.476228,0.846066,0.202785,0.166227,75.033227,,,,0
AUDrone1,ORB-SLAM3,-0.15,0.483252,0.540013,0.483252,0.489195,1.009113,0.024785,0.241002,42.284058,,,,0
AUDrone2,ORB-SLAM3_2,-0.3,0.484888,0.519211,0.484888,0.481103,1.030817,0.154265,0.185643,61.46423,,,,0
AUDrone1,ORB-SLAM3_2,-0.2,0.48716,0.544755,0.48716,0.507476,1.085598,0.071161,0.243788,40.359046,,,,0
AUDrone2,ORB-SLAM3,-0.25,0.488896,0.543765,0.488896,0.473729,1.279768,0.041634,0.238036,91.365316,,,,0
AUDrone2,ORB-SLAM3_2,1.3,0.495543,0.522633,0.495543,0.538983,0.823007,0.133704,0.166079,61.45772,,,,0
AUDrone2,ORB-SLAM3,1.3,0.496884,0.528098,0.496884,0.505602,0.89693,0.215352,0.178871,84.503067,,,,0
AUDrone1,ORB-SLAM3,-0.1,0.500304,0.560055,0.500304,0.511814,1.043175,0.019079,0.25171,45.480968,,,,0
AUDrone1,ORB-SLAM3_2,-0.15,0.503409,0.563856,0.503409,0.516603,1.115707,0.076171,0.253995,43.238967,,,,0
AUDrone2,ORB-SLAM3_2,-0.35,0.514366,0.550008,0.514366,0.513336,1.076389,0.165508,0.194775,68.367109,,,,0
AUDrone2,ORB-SLAM3,-0.3,0.5172,0.574876,0.5172,0.505585,1.340946,0.052792,0.25097,102.449402,,,,0
AUDrone1,ORB-SLAM3,-0.05,0.51757,0.580058,0.51757,0.534151,1.075177,0.017323,0.261895,48.787828,,,,0
AUDrone1,ORB-SLAM3_2,-0.1,0.520345,0.583054,0.520345,0.533571,1.146787,0.084004,0.263045,46.233438,,,,0
AUDrone2,ORB-SLAM3,1.35,0.524184,0.558078,0.524184,0.532264,0.945151,0.223496,0.191525,94.369539,,,,0
AUDrone2,ORB-SLAM3_2,1.35,0.524275,0.553044,0.524275,0.567892,0.860525,0.125434,0.176051,68.512144,,,,0
AUDrone1,ORB-SLAM3,0,0.534339,0.59978,0.534339,0.551142,1.107129,0.022328,0.272428,52.161658,,,,0
AUDrone1,ORB-SLAM3_2,-0.05,0.53652,0.601682,0.53652,0.552989,1.177284,0.091678,0.272339,49.234958,,,,0
AUDrone2,ORB-SLAM3_2,-0.4,0.54043,0.578315,0.54043,0.536319,1.122521,0.17352,0.205873,76.254269,,,,0
AUDrone2,ORB-SLAM3,-0.35,0.546107,0.606489,0.546107,0.537502,1.402125,0.061271,0.263812,114.027083,,,,0
AUDrone1,ORB-SLAM3,0.05,0.550596,0.618924,0.550596,0.569087,1.139403,0.028628,0.282684,55.544616,,,,0
AUDrone2,ORB-SLAM3_2,1.4,0.551658,0.582405,0.551658,0.598789,0.902483,0.124792,0.186732,75.640637,,,,0
AUDrone1,ORB-SLAM3_2,0,0.551993,0.619737,0.551993,0.571307,1.213951,0.093944,0.281739,52.233989,,,,0
AUDrone2,ORB-SLAM3,1.4,0.552776,0.589115,0.552776,0.559385,0.993616,0.223234,0.203703,104.811102,,,,0
AUDrone1,ORB-SLAM3,0.1,0.5668,0.638156,0.5668,0.587135,1.171869,0.035387,0.293225,59.050181,,,,0
AUDrone2,ORB-SLAM3_2,-0.45,0.567996,0.607826,0.567996,0.561294,1.174219,0.181313,0.216409,83.496179,,,,0
AUDrone1,ORB-SLAM3_2,0.05,0.568331,0.638528,0.568331,0.591308,1.248844,0.092786,0.291065,55.449724,,,,0
AUDrone2,ORB-SLAM3,-0.4,0.573604,0.637249,0.573604,0.567694,1.461704,0.068156,0.277605,126.292785,,,,0
AUDrone2,ORB-SLAM3_2,1.45,0.577952,0.61104,0.577952,0.629929,0.948812,0.129212,0.198347,83.634783,,,,0
